image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021705194679750.jpeg,1668021705,-177.7854939,2.794383007,-175.2023781,-6.5,42.01418555,-93.76717858,340.261,4,2022-11-09-13-21-45-286
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021705558298203.jpeg,1668021706,-177.7009248,0.516886234,-175.9174575,-3.937,42.01418668,-93.76717729,340.269,4,2022-11-09-13-21-45-644
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021705921304196.jpeg,1668021706,179.0780225,0.582208394,-175.7956847,-7.813,42.01418931,-93.76717914,340.26,4,2022-11-09-13-21-45-995
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021706283735437.jpeg,1668021706,176.0251922,1.143510774,-175.512332,-13.75,42.01419215,-93.76718305,340.204,4,2022-11-09-13-21-46-376
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021706646517093.jpeg,1668021707,177.398386,1.447246632,-176.5710938,-10.312,42.01419391,-93.76718197,340.205,4,2022-11-09-13-21-46-726
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021707008674339.jpeg,1668021707,175.4404649,3.619886774,-178.6388578,-12.812,42.0141979,-93.76718278,340.203,4,2022-11-09-13-21-47-971
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021707372236306.jpeg,1668021707,177.8865243,2.349478851,178.0638514,-9.562,42.01419996,-93.76718144,340.212,4,2022-11-09-13-21-47-455
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021707737815575.jpeg,1668021708,-179.842203,1.174614594,176.0808199,-6.938,42.0142009,-93.76718013,340.207,4,2022-11-09-13-21-47-834
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021708100877220.jpeg,1668021708,179.3046953,0.51517413,175.1840527,-7.75,42.01420296,-93.76718032,340.185,4,2022-11-09-13-21-48-172
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021708464810845.jpeg,1668021709,179.2220401,-1.083938802,177.9697721,-9.25,42.01420516,-93.76718097,340.182,4,2022-11-09-13-21-48-557
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021708828984701.jpeg,1668021709,178.6397923,0.068104579,-178.1035979,-8.75,42.01420856,-93.76717992,340.201,4,2022-11-09-13-21-48-912
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021709193806403.jpeg,1668021709,178.1544602,-0.577635042,-177.4070138,-9.375,42.01421093,-93.76718054,340.191,4,2022-11-09-13-21-49-296
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021709558872886.jpeg,1668021710,179.9452225,0.245812151,-177.620232,-8.5,42.01421347,-93.76718043,340.191,4,2022-11-09-13-21-49-645
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021709922793583.jpeg,1668021710,178.9709177,0.195871053,-178.8297578,-8.187,42.01421603,-93.7671797,340.191,4,2022-11-09-13-21-50-986
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021710288493882.jpeg,1668021710,178.5306192,-0.34879406,-179.1670009,-9.937,42.01421872,-93.76718089,340.181,4,2022-11-09-13-21-50-368
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a5/1668021710651547667.jpeg,1668021711,178.9328981,0.108889956,-179.9834229,-8.5,42.0142213,-93.76718022,340.183,4,2022-11-09-13-21-50-738
