image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021606171141709.jpeg,1668021606,-178.8546415,0.500966283,2.37152692,-6.75,42.01453492,-93.76715224,340.019,4,2022-11-09-13-20-06-258
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021606537962901.jpeg,1668021607,-178.8534675,0.500264042,2.373154704,-6.75,42.01453492,-93.76715223,340.019,4,2022-11-09-13-20-06-642
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021606905856449.jpeg,1668021607,-178.8522314,0.499306299,2.375529235,-6.75,42.01453493,-93.76715225,340.017,4,2022-11-09-13-20-06-975
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021607273914286.jpeg,1668021607,-178.8501952,0.497677948,2.379497582,-6.75,42.01453492,-93.76715223,340.015,4,2022-11-09-13-20-07-358
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021607642629246.jpeg,1668021608,-178.8494806,0.493830673,2.381369479,-6.75,42.01453491,-93.76715225,340.015,4,2022-11-09-13-20-07-728
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021608012566830.jpeg,1668021608,-178.8513434,0.49163021,2.384002834,-6.75,42.01453492,-93.76715225,340.016,4,2022-11-09-13-20-08-100
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021608382731585.jpeg,1668021608,-178.906993,0.511291017,2.38880117,-6.75,42.01453492,-93.76715226,340.016,4,2022-11-09-13-20-08-477
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021608752247816.jpeg,1668021609,-179.1471522,0.464231204,2.446479139,-6.75,42.01453487,-93.76715226,340.018,4,2022-11-09-13-20-08-850
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021609124379068.jpeg,1668021609,179.9460081,0.214045733,2.850009649,-6.938,42.01453451,-93.76715224,340.015,4,2022-11-09-13-20-09-206
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021609494278607.jpeg,1668021610,179.3762782,0.756456334,2.171261872,-8.187,42.01453285,-93.76715151,340.012,4,2022-11-09-13-20-09-584
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021609861534311.jpeg,1668021610,178.0667944,-0.256279513,-3.65425918,-8.437,42.01453111,-93.76715061,340.008,4,2022-11-09-13-20-09-936
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021610229525771.jpeg,1668021610,177.2050677,-0.373541787,-3.115430263,-9.562,42.01452848,-93.76715081,340.005,4,2022-11-09-13-20-10-309
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021610598544141.jpeg,1668021611,177.4572925,-1.649601253,4.871141831,-10.625,42.01452747,-93.76715028,340.012,4,2022-11-09-13-20-10-669
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021610968471322.jpeg,1668021611,176.9443584,-1.123993141,2.309605258,-9.125,42.01452462,-93.76715076,340.01,4,2022-11-09-13-20-11-504
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021611336435735.jpeg,1668021611,176.3768545,-1.202690147,2.256091442,-12.312,42.0145227,-93.76714939,340.003,4,2022-11-09-13-20-11-408
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021611705249081.jpeg,1668021612,175.8548667,-1.390402539,0.63693466,-11.687,42.01451996,-93.76714946,340.003,4,2022-11-09-13-20-11-801
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021612074230335.jpeg,1668021612,175.8921864,0.097880635,0.687194705,-12.25,42.01451638,-93.76714919,340.011,4,2022-11-09-13-20-12-154
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021612444182861.jpeg,1668021613,178.1093796,-0.080645874,-0.40277827,-9.875,42.0145153,-93.76715026,340.019,4,2022-11-09-13-20-12-535
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021612812459450.jpeg,1668021613,176.6469329,-0.458822751,-0.910534234,-10.187,42.01451273,-93.76715044,340.01,4,2022-11-09-13-20-12-888
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021613183943223.jpeg,1668021613,175.3373449,-0.963397398,-1.420102744,-12.375,42.01450945,-93.76714933,340.008,4,2022-11-09-13-20-13-278
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021613551574160.jpeg,1668021614,176.457018,-0.634157843,-1.373960489,-11.625,42.01450747,-93.76714943,340.014,4,2022-11-09-13-20-13-628
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021613917926840.jpeg,1668021614,175.7028028,-0.129339036,-1.541265637,-13.187,42.01450467,-93.7671497,340.01,4,2022-11-09-13-20-14-418
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021614284435971.jpeg,1668021614,176.4902318,0.685085271,-2.54625787,-11.75,42.01450201,-93.76715022,340.006,4,2022-11-09-13-20-14-359
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021614650050938.jpeg,1668021615,176.0781743,0.744237067,0.041507581,-11.062,42.01449914,-93.76715087,340.017,4,2022-11-09-13-20-14-744
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021615019528760.jpeg,1668021615,175.9315388,-0.17054594,1.870042841,-11.812,42.01449664,-93.76715064,340.015,4,2022-11-09-13-20-15-937
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021615388590144.jpeg,1668021615,175.966101,0.143830624,5.21363593,-12.312,42.01449412,-93.76715047,339.999,4,2022-11-09-13-20-15-468
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a4/1668021615755658365.jpeg,1668021616,176.9648023,-0.462941628,7.457451664,-11.875,42.01449202,-93.76715107,340.006,4,2022-11-09-13-20-15-846
