image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024915913400162.jpeg,1668024916.0225582,-177.3993893855719,0.29990592862441867,-130.66861725340604,-4.188,42.012981106666665,-93.76721268333333,339.702,4,2022-11-09-14-15-16-226,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024916286998914.jpeg,1668024916.3748536,-177.40249276784544,0.3040677123765302,-130.68119142468507,-4.188,42.012981095,-93.76721267333333,339.703,4,2022-11-09-14-15-16-374,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024916659645328.jpeg,1668024916.7329144,-177.40521969634827,0.3054112318127275,-130.68449352727828,-4.125,42.01298111166667,-93.76721272,339.704,4,2022-11-09-14-15-16-732,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024917022862041.jpeg,1668024917.1085367,-177.40466576189502,0.3040511148747816,-130.68508297273996,-4.125,42.012981105,-93.767212695,339.704,4,2022-11-09-14-15-17-108,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024917388195109.jpeg,1668024917.4728901,-177.4043682442146,0.3035057282638611,-130.68618928649516,-4.125,42.0129811,-93.76721270166666,339.703,4,2022-11-09-14-15-17-472,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024917752319928.jpeg,1668024917.84023,-177.403702478291,0.3026337025933026,-130.6901237353506,-4.125,42.012981116666666,-93.767212695,339.704,4,2022-11-09-14-15-17-840,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024918117325992.jpeg,1668024918.1950245,-177.4031810209997,0.29785284412762963,-130.6980250735049,-4.125,42.01298110333333,-93.76721269833334,339.705,4,2022-11-09-14-15-18-195,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024918480941069.jpeg,1668024918.5753124,-177.32204089745673,-0.012224097262271198,-130.8932260260701,-4.375,42.01298131833333,-93.76721285333333,339.704,4,2022-11-09-14-15-18-575,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024918844004885.jpeg,1668024918.9187205,-178.91935448766029,0.5697914431053431,-132.28842601970385,-4.875,42.012982715,-93.76721282333334,339.703,4,2022-11-09-14-15-18-918,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d4/1668024919208981919.jpeg,1668024919.29575,179.96291517187936,-0.02041664867488385,-131.9470023195115,-8.687,42.012984706666664,-93.76721517,339.696,4,2022-11-09-14-15-19-295,
