image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933945028524374.jpeg,1667933945.1401124,179.92123401798906,3.3648171560116493,-19.249939268291428,-8.812,42.01686402,-93.77303995666666,344.523,4,2022-11-08-12-59-05-140,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933945363980373.jpeg,1667933945.457806,179.92210025545657,3.3641874773785085,-19.253605686913417,-8.812,42.016864005,-93.77303993833333,344.524,4,2022-11-08-12-59-05-457,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933945687238669.jpeg,1667933945.770227,179.922991950017,3.363635866622759,-19.257319771808493,-8.812,42.01686402166666,-93.77303995,344.524,4,2022-11-08-12-59-05-770,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933946019930223.jpeg,1667933946.109405,179.92471094904218,3.3623999257804162,-19.264578375402383,-8.812,42.01686402333333,-93.77303995666666,344.523,4,2022-11-08-12-59-06-109,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933946353784312.jpeg,1667933946.4334533,179.92554653064184,3.3618122611312033,-19.268094695739897,-8.812,42.016864016666666,-93.77303994666667,344.523,4,2022-11-08-12-59-06-433,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933946687294987.jpeg,1667933946.7759185,179.9261078976978,3.3610914229254614,-19.270621963700776,-8.812,42.01686402,-93.77303995166666,344.522,4,2022-11-08-12-59-06-776,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933947019662098.jpeg,1667933947.103638,179.92798836357466,3.3602800066965504,-19.278282574718776,-8.812,42.016864006666665,-93.773039985,344.521,4,2022-11-08-12-59-07-103,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933947352949236.jpeg,1667933947.4453747,179.92881883985345,3.359725930763929,-19.281749135477984,-8.812,42.016864015,-93.77303999,344.519,4,2022-11-08-12-59-07-445,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933947687176375.jpeg,1667933947.7736745,179.92950785831164,3.359221191056642,-19.284641430908263,-8.812,42.01686401333333,-93.77303998,344.521,4,2022-11-08-12-59-07-773,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933948019895196.jpeg,1667933948.1145573,179.92779844839006,3.3521374478936936,-19.297336734893026,-8.812,42.01686401166667,-93.77303995833333,344.523,4,2022-11-08-12-59-08-114,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933948354976914.jpeg,1667933948.4444866,179.82416582128837,2.7761362259982056,-19.27489618610247,-8.875,42.01686413666667,-93.773040035,344.523,4,2022-11-08-12-59-08-444,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933948687382272.jpeg,1667933948.7806876,179.60960548371017,2.2061972654653683,-19.32735319613529,-9.25,42.01686496,-93.77304007,344.512,4,2022-11-08-12-59-08-780,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933949020434196.jpeg,1667933949.1150458,177.2673888418034,2.011137349960882,-19.643653021073575,-10.25,42.016866093333334,-93.77304035,344.504,4,2022-11-08-12-59-09-115,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933949353437363.jpeg,1667933949.458695,178.3924409455574,2.8486228423239193,-19.815533892903034,-11.125,42.016867936666664,-93.773040635,344.504,4,2022-11-08-12-59-09-458,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933949687208066.jpeg,1667933949.7885005,179.64389178637654,2.7847007746404784,-19.05071047741092,-10.875,42.016869498333335,-93.773040025,344.502,4,2022-11-08-12-59-09-788,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933950020786507.jpeg,1667933950.1092489,179.5140616290259,1.3140334582390711,-15.92664828583676,-8.187,42.01687057833333,-93.77303830833333,344.497,4,2022-11-08-12-59-10-109,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933950353564568.jpeg,1667933950.4333487,178.3915248136187,0.8850121344727617,-13.277102689930478,-9.062,42.01687168833333,-93.77303847666667,344.491,4,2022-11-08-12-59-10-433,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r4/1667933950687373441.jpeg,1667933950.7767556,177.78184747759477,-0.08344355548919663,-9.508610766654128,-11.437,42.01687225166667,-93.77303961333334,344.489,4,2022-11-08-12-59-10-776,
