image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021508334576836.jpeg,1668021508,178.8665581,2.159679724,168.0590428,-8.937,42.01418084,-93.76710836,340.255,4,2022-11-09-13-18-28-448
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021508695460598.jpeg,1668021509,178.8703029,2.125243876,168.0710495,-8.937,42.01418083,-93.76710832,340.252,4,2022-11-09-13-18-28-795
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021509058299080.jpeg,1668021509,178.8635253,2.10887615,168.0177776,-8.937,42.01418084,-93.76710834,340.252,4,2022-11-09-13-18-29-143
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021509420544667.jpeg,1668021510,178.8615215,2.097240553,167.9731683,-9,42.01418085,-93.76710837,340.251,4,2022-11-09-13-18-29-516
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021509782503667.jpeg,1668021510,178.8659378,2.093777434,167.9749102,-8.937,42.01418083,-93.76710834,340.252,4,2022-11-09-13-18-29-866
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021510147813229.jpeg,1668021510,178.8633786,2.092847341,167.9737216,-8.937,42.01418085,-93.76710833,340.252,4,2022-11-09-13-18-30-245
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021510510458902.jpeg,1668021511,178.8639392,2.09058144,167.9788366,-8.937,42.01418085,-93.76710834,340.254,4,2022-11-09-13-18-30-593
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021510874531025.jpeg,1668021511,178.8455909,1.905211515,167.9819815,-8.937,42.0141809,-93.76710836,340.252,4,2022-11-09-13-18-30-963
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021511237725907.jpeg,1668021511,178.6246921,1.815435573,167.5852577,-8.812,42.01418155,-93.76710832,340.247,4,2022-11-09-13-18-31-316
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a3/1668021511602284919.jpeg,1668021512,177.8135218,1.683651542,167.1333378,-9.125,42.01418325,-93.76710841,340.244,4,2022-11-09-13-18-31-691
