image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024307278213951.jpeg,1668024307.3840683,-178.20985292678253,1.5422626255240561,43.67431481220176,-6.313,42.01408680833333,-93.76706364166667,340.142,4,2022-11-09-14-05-07-384,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024307650646162.jpeg,1668024307.736758,-178.2097384860845,1.5421988166136695,43.67427219820372,-6.375,42.014086793333334,-93.767063545,340.139,4,2022-11-09-14-05-07-736,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024308023243370.jpeg,1668024308.096424,-178.21001542657058,1.5420378287221572,43.67461633052446,-6.313,42.014086765,-93.767063595,340.141,4,2022-11-09-14-05-08-965,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024308402941275.jpeg,1668024308.4916394,-178.2102477176976,1.5418854362053491,43.67491486699511,-6.313,42.01408675333333,-93.76706362,340.14,4,2022-11-09-14-05-08-491,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024308775357446.jpeg,1668024308.845479,-178.21031868160807,1.5257543074178972,43.67696922389635,-6.313,42.014086766666665,-93.76706356666666,340.141,4,2022-11-09-14-05-08-845,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024309139795954.jpeg,1668024309.2241013,-178.20713775764793,1.5255912442418211,43.68022266987998,-6.25,42.01408673833333,-93.76706360166666,340.141,4,2022-11-09-14-05-09-224,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024309505087708.jpeg,1668024309.584044,-178.2118937504716,1.526084557784505,43.684095648948855,-6.25,42.01408675333333,-93.76706359666667,340.143,4,2022-11-09-14-05-09-584,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024309870991715.jpeg,1668024309.9615176,-178.22279064258856,1.5215558868613137,43.68589499768268,-6.375,42.014086858333336,-93.76706362333333,340.144,4,2022-11-09-14-05-09-961,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024310239217226.jpeg,1668024310.311378,-178.2198671453472,1.515760184625326,43.68748197512886,-6.375,42.01408683,-93.76706358333334,340.145,4,2022-11-09-14-05-10-311,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024310607383668.jpeg,1668024310.6948235,-178.21247120281404,1.5124731973644867,43.693129811426004,-6.313,42.014086825,-93.76706365,340.143,4,2022-11-09-14-05-10-694,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024310974396790.jpeg,1668024311.0572894,-178.21015496295286,1.5151226809634433,43.69445049679841,-6.313,42.01408686166667,-93.76706365166666,340.142,4,2022-11-09-14-05-11-573,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024311341093171.jpeg,1668024311.4311635,-178.21014421352382,1.51540244631515,43.694232847448845,-6.375,42.01408684,-93.76706363166667,340.14,4,2022-11-09-14-05-11-431,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024311709402067.jpeg,1668024311.7848723,-178.2102525363537,1.5153632096392158,43.69434125175186,-6.375,42.014086803333335,-93.76706362,340.14,4,2022-11-09-14-05-11-784,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024312077309729.jpeg,1668024312.1670396,-178.2106209700444,1.5153240867404791,43.69463473699098,-6.313,42.014086791666664,-93.76706363833334,340.141,4,2022-11-09-14-05-12-167,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024312443683466.jpeg,1668024312.5221083,-178.21052371298236,1.5152702457780547,43.694607253154494,-6.313,42.01408680833333,-93.767063635,340.141,4,2022-11-09-14-05-12-522,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024312810638071.jpeg,1668024312.8968549,-178.25926774521008,0.873382119004411,43.795772051617675,-6.25,42.01408679,-93.76706363666666,340.139,4,2022-11-09-14-05-12-896,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024313178728558.jpeg,1668024313.253661,-178.8501195807312,0.6011005306182615,43.843841464988806,-6.375,42.01408576666667,-93.76706338166667,340.146,4,2022-11-09-14-05-13-253,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024313545987450.jpeg,1668024313.6327155,-179.7783570508747,0.26001040050154234,43.98733273299954,-7.75,42.01408472333333,-93.76706270666666,340.141,4,2022-11-09-14-05-13-632,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024313914447814.jpeg,1668024313.9994075,179.18107534240292,0.10425068822003768,44.22913254556487,-8.5,42.014083361666664,-93.76706231,340.142,4,2022-11-09-14-05-13-999,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024314280824663.jpeg,1668024314.3629224,178.64111417350313,-0.440009008184741,44.721674879057765,-8.0,42.01408240833333,-93.76706239833334,340.145,4,2022-11-09-14-05-14-363,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024314649316846.jpeg,1668024314.724532,179.41295928446038,-0.2616393142349391,46.08591938832434,-9.937,42.01408086833333,-93.76706152666667,340.128,4,2022-11-09-14-05-14-724,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024315018679127.jpeg,1668024315.103934,179.5323050655219,-0.6001534172362976,46.959490140522256,-6.938,42.01407934,-93.76706304333334,340.134,4,2022-11-09-14-05-15-104,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d1/1668024315389495395.jpeg,1668024315.4708123,179.07932179742045,0.209461148294871,44.71993440498334,-7.875,42.014076743333334,-93.76706220333334,340.128,4,2022-11-09-14-05-15-470,
