image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021353527907033.jpeg,1668021354,176.6879273,-0.532408727,-17.52082437,-8.687,42.01452553,-93.76708817,339.993,4,2022-11-09-13-15-53-609
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021353898384268.jpeg,1668021354,175.5600139,-0.448698599,-16.65971513,-13.812,42.01452323,-93.76708433,339.963,4,2022-11-09-13-15-53-985
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021354267048647.jpeg,1668021354,176.0136405,0.169082186,-19.27725482,-10.375,42.01452002,-93.76708666,339.99,4,2022-11-09-13-15-54-354
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021354636999477.jpeg,1668021355,176.875745,-0.194446005,-21.61284442,-11.187,42.01451784,-93.76708616,339.995,4,2022-11-09-13-15-54-726
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021355005215198.jpeg,1668021355,177.7301557,-0.019553035,-23.51415994,-12.062,42.01451539,-93.76708524,339.991,4,2022-11-09-13-15-55-855
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021355376784846.jpeg,1668021355,179.9761041,0.008947935,-20.26206937,-8.375,42.01451261,-93.7670875,339.995,4,2022-11-09-13-15-55-466
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021355748337936.jpeg,1668021356,-178.2567378,-0.081336936,-16.24022776,-5.875,42.01451057,-93.76708895,339.988,4,2022-11-09-13-15-55-820
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021356116650519.jpeg,1668021356,-178.5070743,0.325378053,-17.97301928,-5.5,42.01450823,-93.7670893,339.989,4,2022-11-09-13-15-56-201
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021356485187178.jpeg,1668021357,-178.3854705,0.346387743,-20.75238065,-5.875,42.01450571,-93.7670891,339.992,4,2022-11-09-13-15-56-554
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021356853622482.jpeg,1668021357,-178.8152077,0.098377897,-19.96706462,-5.75,42.01450389,-93.76708942,339.988,4,2022-11-09-13-15-56-932
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021357219046995.jpeg,1668021357,-178.8686274,-0.20006374,-18.45479511,-5.625,42.01450147,-93.76708953,339.983,4,2022-11-09-13-15-57-301
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021357587277253.jpeg,1668021358,-179.3350946,-0.891049267,-18.50007852,-6.688,42.01449907,-93.76708877,339.989,4,2022-11-09-13-15-57-676
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021357954939479.jpeg,1668021358,179.8880475,-0.675161537,-18.44254865,-6.938,42.01449706,-93.7670888,339.986,4,2022-11-09-13-15-58-328
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021358321566823.jpeg,1668021358,179.8371369,-0.811295617,-18.66427342,-7.875,42.0144944,-93.76708818,339.99,4,2022-11-09-13-15-58-399
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021358690099496.jpeg,1668021359,179.3160347,-0.633962797,-18.53229609,-8,42.01449179,-93.76708803,339.991,4,2022-11-09-13-15-58-764
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021359059470292.jpeg,1668021359,179.3552713,-0.734165109,-18.53814475,-8.812,42.01448922,-93.7670875,339.994,4,2022-11-09-13-15-59-142
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021359426132798.jpeg,1668021360,179.8814682,-0.607168618,-18.63446902,-8.312,42.01448718,-93.76708773,339.993,4,2022-11-09-13-15-59-516
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021359791554341.jpeg,1668021360,-179.9051703,-0.790782921,-17.83297393,-7.938,42.01448457,-93.76708802,339.99,4,2022-11-09-13-15-59-866
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021360157922928.jpeg,1668021360,-179.5764728,-0.91814643,-16.89925768,-8.812,42.01448275,-93.76708733,339.991,4,2022-11-09-13-16-00-234
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a2/1668021360524249587.jpeg,1668021361,-179.1029584,-1.354163364,-16.04468247,-7.063,42.01448005,-93.76708833,339.994,4,2022-11-09-13-16-00-608
