image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024486117306095.jpeg,1668024486.2081692,-177.2711471852058,0.5120309043084854,-124.0013172593558,-4.625,42.01298417666667,-93.76710145666667,339.583,4,2022-11-09-14-08-06-208,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024486482846896.jpeg,1668024486.56956,-177.27310733360832,0.5104562219360115,-123.99213947381774,-4.625,42.01298413166667,-93.76710146666667,339.582,4,2022-11-09-14-08-06-569,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024486850404850.jpeg,1668024486.9364324,-177.27407542959477,0.5095776728994516,-123.98773457193448,-4.625,42.012984188333334,-93.76710143666666,339.584,4,2022-11-09-14-08-06-936,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024487216918896.jpeg,1668024487.2973409,-177.27564731164176,0.5081000353530896,-123.98047768626789,-4.625,42.012984188333334,-93.767101455,339.584,4,2022-11-09-14-08-07-297,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024487583353055.jpeg,1668024487.6698818,-177.2703755985928,0.5063111626368052,-123.98153989868823,-4.688,42.01298415666667,-93.76710146166667,339.58,4,2022-11-09-14-08-07-669,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024487950903903.jpeg,1668024488.0335193,-177.27236025134738,0.5041627901197713,-123.96729007108834,-4.688,42.012984175,-93.76710146166667,339.585,4,2022-11-09-14-08-08-336,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024488316326349.jpeg,1668024488.4140568,-177.27791102812722,0.5081631898438279,-123.96454339681569,-4.688,42.012984161666665,-93.76710147333333,339.581,4,2022-11-09-14-08-08-414,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024488682131360.jpeg,1668024488.7686386,-177.12174503005073,0.10642495832401885,-124.35773562910464,-4.938,42.01298420166667,-93.767101555,339.58,4,2022-11-09-14-08-08-768,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024489048954259.jpeg,1668024489.1417508,-178.85573795220446,0.01619639739511584,-125.39445700902401,-5.563,42.01298517,-93.76710220166666,339.587,4,2022-11-09-14-08-09-141,
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/d2/1668024489417573900.jpeg,1668024489.4978595,179.6229636975176,-0.29619089931261894,-126.58182869704949,-8.187,42.01298647,-93.76710414833333,339.579,4,2022-11-09-14-08-09-497,
