image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933663476672370.jpeg,1667933663.5515053,-178.4947417418181,1.526921472983545,154.1633251214134,-5.188,42.01809784833333,-93.77303538,344.652,4,2022-11-08-12-54-23-551,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933663810204997.jpeg,1667933663.8874066,-179.3536086716203,2.304982097821619,151.94180853052384,-7.625,42.018095663333334,-93.77303391666666,344.648,4,2022-11-08-12-54-23-887,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933664142513919.jpeg,1667933664.2200563,-178.6073633429988,2.211055297439944,152.9935526226598,-6.375,42.01809528333333,-93.77303468166667,344.639,4,2022-11-08-12-54-24-220,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933664476634074.jpeg,1667933664.5648956,-179.02359809165392,1.5350570990618408,154.18412464341571,-6.5,42.018093846666666,-93.77303512666667,344.639,4,2022-11-08-12-54-24-564,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933664810030061.jpeg,1667933664.890686,-179.7567412775089,0.496667281679355,155.7476006581507,-7.25,42.018092425,-93.77303455333333,344.621,4,2022-11-08-12-54-24-890,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933665141985434.jpeg,1667933665.2306175,-179.2498033257169,-0.9346354466880442,158.3580721785798,-7.438,42.018092173333336,-93.77303441833334,344.622,4,2022-11-08-12-54-25-230,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933665476699800.jpeg,1667933665.552841,-179.69569513385002,0.6840363333479826,158.08912264158838,-7.063,42.018090648333335,-93.77303470666666,344.631,4,2022-11-08-12-54-25-552,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933665809572756.jpeg,1667933665.8878553,-179.0376224520215,0.7678079430770178,155.18126538007985,-7.188,42.01808803833333,-93.77303451666667,344.621,4,2022-11-08-12-54-25-887,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933666143093980.jpeg,1667933666.2223897,179.97061666401535,-1.2207279844924452,153.0617131895145,-7.0,42.01808729,-93.77303500166667,344.628,4,2022-11-08-12-54-26-222,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933666476576972.jpeg,1667933666.5565097,-179.2592159425903,-2.0635355119767422,153.26573753819662,-8.625,42.01808553666667,-93.77303357666666,344.629,4,2022-11-08-12-54-26-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933666810491503.jpeg,1667933666.8874078,179.81251978393237,-0.6430184212138048,153.2342241140421,-7.75,42.01808267333333,-93.77303441,344.635,4,2022-11-08-12-54-26-887,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933667142753264.jpeg,1667933667.2243931,-179.81479172305748,0.022723687770044767,157.10338988173675,-9.375,42.01808092,-93.77303347666667,344.619,4,2022-11-08-12-54-27-224,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933667476666048.jpeg,1667933667.5556383,-179.7536010387432,-3.0154754480326096,159.45760005303458,-7.313,42.018080598333334,-93.77303440166666,344.613,4,2022-11-08-12-54-27-555,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933667810037299.jpeg,1667933667.891203,-177.40414429883702,-2.0829317900604463,158.25515842223413,-5.75,42.018078095,-93.77303538166667,344.643,4,2022-11-08-12-54-27-891,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933668141802042.jpeg,1667933668.223455,-177.7874761227269,-0.7029372384757171,154.9450994989077,-4.813,42.018076173333334,-93.77303587666667,344.648,4,2022-11-08-12-54-28-223,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933668476855853.jpeg,1667933668.5600672,-179.26354491404348,-1.5221845702885783,154.12898424129486,-7.188,42.018074113333334,-93.77303479833333,344.64,4,2022-11-08-12-54-28-560,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933668810072108.jpeg,1667933668.896941,-177.1944128333473,-2.515980749942457,154.9229119136226,-6.563,42.01807233833333,-93.77303476333333,344.628,4,2022-11-08-12-54-28-897,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933669143069394.jpeg,1667933669.2253208,-176.2647672002945,-0.7645876563875552,155.08212144654803,-3.562,42.01806971,-93.773036825,344.65,4,2022-11-08-12-54-29-225,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933669475727973.jpeg,1667933669.5465367,-178.10791611284276,-0.4758000165281999,157.2766224882465,-7.875,42.018067896666665,-93.77303470333334,344.657,4,2022-11-08-12-54-29-546,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933669810025506.jpeg,1667933669.8812876,-176.48940965693703,-0.7243977591352946,156.97804403721287,-5.563,42.01806560833333,-93.773035295,344.643,4,2022-11-08-12-54-29-881,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933670143100065.jpeg,1667933670.2150571,-176.8631051582439,-0.8878947418386895,156.12418556163612,-4.375,42.018064105,-93.77303599166666,344.651,4,2022-11-08-12-54-30-215,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933670476642609.jpeg,1667933670.5568376,-177.83545230715114,0.13808735925954715,156.8528423499513,-5.438,42.01806169,-93.773035445,344.656,4,2022-11-08-12-54-30-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933670810019164.jpeg,1667933670.8899622,179.7363422735193,0.09826225712158997,155.74682841874926,-8.25,42.018059155,-93.77303355,344.657,4,2022-11-08-12-54-30-890,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933671143086059.jpeg,1667933671.2217238,-179.1440540542859,-0.2323679048820204,155.37320998275925,-8.75,42.01805752333333,-93.773032805,344.654,4,2022-11-08-12-54-31-221,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933671476578109.jpeg,1667933671.5562859,-177.32334411488304,-0.2528285148315026,154.59104225575908,-4.438,42.018055688333334,-93.77303519833333,344.658,4,2022-11-08-12-54-31-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933671809820395.jpeg,1667933671.881639,-177.86699745762462,-0.6905993561791673,153.4075549699524,-6.188,42.018053071666664,-93.77303465666667,344.659,4,2022-11-08-12-54-31-881,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933672143288955.jpeg,1667933672.2224998,-177.59505915317362,-1.2245017821331916,152.34965386131725,-5.938,42.018051336666666,-93.77303467166666,344.659,4,2022-11-08-12-54-32-222,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933672476759894.jpeg,1667933672.55456,-176.49745801325312,-1.1964164004513163,151.42104599831697,-5.25,42.01804924,-93.77303492166666,344.66,4,2022-11-08-12-54-32-554,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933672810349059.jpeg,1667933672.879591,-178.62033960224525,-0.2064578981401203,151.32511064502984,-5.375,42.018047241666665,-93.77303569166666,344.671,4,2022-11-08-12-54-32-879,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933673142788627.jpeg,1667933673.2223055,178.17156609629478,-0.15711729663946222,157.38023730621012,-12.375,42.01804516666667,-93.77303233333333,344.658,4,2022-11-08-12-54-33-222,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933673476740286.jpeg,1667933673.5573814,179.75042620056803,-0.24738310350729723,158.94200319192333,-9.875,42.01804309333333,-93.77303285,344.662,4,2022-11-08-12-54-33-557,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933673810343837.jpeg,1667933673.8887954,-178.35502435914978,-0.5981342920698425,156.74729468348275,-6.313,42.01804057166667,-93.773035305,344.668,4,2022-11-08-12-54-33-888,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933674143169640.jpeg,1667933674.217196,-178.1850574469876,1.025270360693325,155.93609005618492,-6.125,42.01803791166667,-93.773035635,344.681,4,2022-11-08-12-54-34-217,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933674476296366.jpeg,1667933674.5565813,-179.85368531593923,-0.022790858634491512,154.71387519604352,-9.562,42.018037191666664,-93.77303404166666,344.669,4,2022-11-08-12-54-34-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933674810411463.jpeg,1667933674.8884492,179.30539858512353,0.3951449132516871,153.84413302152348,-8.125,42.01803421166667,-93.77303435,344.666,4,2022-11-08-12-54-34-888,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933675142170518.jpeg,1667933675.2275794,-177.95682708008815,-0.7354284472269188,154.44885966432005,-6.875,42.01803271166666,-93.77303483333333,344.665,4,2022-11-08-12-54-35-227,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933675476053117.jpeg,1667933675.5644355,-178.3302698243113,-0.35621622409842224,153.95027073792886,-5.438,42.01803063,-93.773036,344.663,4,2022-11-08-12-54-35-564,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933675811428527.jpeg,1667933675.8887558,177.61979474407605,-0.7602192344014076,156.27985747973665,-12.187,42.01802830166667,-93.77303258666667,344.658,4,2022-11-08-12-54-35-888,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933676143027945.jpeg,1667933676.2257514,178.4577006306327,-0.9193708825881335,160.3650533761018,-11.0,42.018027061666665,-93.77303270166666,344.653,4,2022-11-08-12-54-36-225,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933676476611664.jpeg,1667933676.547734,-179.7123883435191,-0.9481223541195681,157.92368854430958,-7.313,42.018024598333334,-93.77303468166667,344.672,4,2022-11-08-12-54-36-547,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933676809166348.jpeg,1667933676.8824873,179.94119654267504,-0.9839101696899989,156.48826352487202,-7.875,42.01802207833333,-93.77303474666667,344.675,4,2022-11-08-12-54-36-882,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933677143300300.jpeg,1667933677.226858,-179.64661969741778,-1.1162114234197362,155.0170397003571,-9.875,42.01801986833333,-93.77303355833334,344.672,4,2022-11-08-12-54-37-226,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933677476941716.jpeg,1667933677.5615144,-179.91813293715663,-1.2944088636187179,155.0451698209351,-8.375,42.018017928333336,-93.77303407666666,344.679,4,2022-11-08-12-54-37-561,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933677810146292.jpeg,1667933677.8971503,179.83948160852307,-0.8252625109908748,154.92205135496604,-7.938,42.01801528166666,-93.77303465,344.682,4,2022-11-08-12-54-37-897,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933678143346263.jpeg,1667933678.2266638,179.41824504596002,-1.0855338794343397,154.82612025531995,-9.812,42.01801346333333,-93.77303361833333,344.688,4,2022-11-08-12-54-38-226,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933678476455445.jpeg,1667933678.5573041,-177.45935128619095,-1.3470305400133236,158.8067274985524,-6.813,42.01801146333333,-93.77303446666667,344.691,4,2022-11-08-12-54-38-557,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933678810134155.jpeg,1667933678.8871596,-178.89776067304922,-0.5645320735096154,159.7273293598147,-7.5,42.018008396666666,-93.77303536333334,344.696,4,2022-11-08-12-54-38-887,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933679141941339.jpeg,1667933679.2201498,179.0079969958004,-0.8195537997636817,157.98513094236054,-9.5,42.01800634666667,-93.77303394,344.691,4,2022-11-08-12-54-39-220,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933679476781097.jpeg,1667933679.5566893,-179.68850694046637,-1.046051309669407,157.1614152631946,-9.5,42.018004186666666,-93.77303368666666,344.698,4,2022-11-08-12-54-39-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933679810129934.jpeg,1667933679.881512,-179.15731257946618,-0.5644996701275061,157.50284259698802,-7.438,42.018001393333336,-93.77303496666667,344.703,4,2022-11-08-12-54-39-881,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933680143079757.jpeg,1667933680.2160728,-179.2872017296486,-1.0555599197557528,156.41753455338488,-8.875,42.01799874333334,-93.77303412,344.7,4,2022-11-08-12-54-40-216,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933680476679147.jpeg,1667933680.5579772,-179.30173761655448,-1.287863668153068,155.8782596015967,-9.437,42.01799713166667,-93.77303374666667,344.705,4,2022-11-08-12-54-40-558,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933680809892948.jpeg,1667933680.8979905,-178.05747427285112,-0.9060737743119517,155.64047832333307,-6.688,42.01799405333333,-93.77303512166667,344.711,4,2022-11-08-12-54-40-898,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933681141762120.jpeg,1667933681.2207153,-178.54200998666153,-0.35615468585942056,154.8530638593904,-6.563,42.017992085,-93.77303526,344.713,4,2022-11-08-12-54-41-220,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933681476048028.jpeg,1667933681.55634,-178.83173667507364,-1.3802144261612497,154.54070436189144,-8.625,42.01799072666667,-93.77303428333333,344.711,4,2022-11-08-12-54-41-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933681810471612.jpeg,1667933681.8881853,-178.6463587952379,-0.29228910572282973,153.68601089792898,-6.813,42.01798715,-93.77303529666666,344.722,4,2022-11-08-12-54-41-888,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933682159774487.jpeg,1667933682.2293272,-178.1717948437212,-0.6862368232931578,154.46607925870435,-7.063,42.017985085,-93.77303507166667,344.714,4,2022-11-08-12-54-42-229,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933682478261714.jpeg,1667933682.5618954,178.8666104225517,-0.2902913981966479,155.95637549782083,-9.187,42.017982485,-93.77303402666666,344.719,4,2022-11-08-12-54-42-561,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933682841499754.jpeg,1667933682.9005332,179.87886127738741,0.22583655071226308,159.71872022719606,-11.562,42.0179799,-93.773032815,344.714,4,2022-11-08-12-54-42-900,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933683143379664.jpeg,1667933683.2295742,-178.91190605723955,-0.6297834742716774,161.26658541496045,-6.438,42.01797818,-93.77303584,344.719,4,2022-11-08-12-54-43-229,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933683509869266.jpeg,1667933683.570001,179.62661448686538,-1.1201123769698784,163.18154687107187,-10.125,42.017975505,-93.77303379166666,344.721,4,2022-11-08-12-54-43-570,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933683810193384.jpeg,1667933683.88985,-179.03187789508212,-1.4465337644042902,161.09678404329134,-10.0,42.017973785,-93.77303338833333,344.724,4,2022-11-08-12-54-43-889,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933684174841529.jpeg,1667933684.2343366,-175.4197787942421,-2.4677195177047486,160.0253891115922,-6.25,42.017971405,-93.773034645,344.73,4,2022-11-08-12-54-44-234,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933684476061912.jpeg,1667933684.5615704,-172.64669961311685,-1.0612592467327204,157.34548210996257,0.563,42.01796947,-93.77303856333333,344.711,4,2022-11-08-12-54-44-561,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933684843906715.jpeg,1667933684.9074638,-177.24214978457428,-1.8652852980178436,159.55111923751383,-7.313,42.017966785,-93.77303493166667,344.743,4,2022-11-08-12-54-44-907,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933685143833143.jpeg,1667933685.2283897,-176.99948230658885,-2.0710441709572898,160.296765937288,-7.25,42.01796397,-93.77303422,344.757,4,2022-11-08-12-54-45-228,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933685507781343.jpeg,1667933685.566817,-176.79675235915062,-0.39927980067939595,160.03846997033327,-5.063,42.017960198333334,-93.77303571333333,344.761,4,2022-11-08-12-54-45-566,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933685810163803.jpeg,1667933685.8829618,-176.66921743986686,-0.9651973994347286,156.71578707441478,-7.438,42.017958416666666,-93.773034145,344.765,4,2022-11-08-12-54-45-883,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933686172661393.jpeg,1667933686.2317324,-175.75465537035015,0.017046160227663434,155.55367949088568,-4.875,42.017955905,-93.773034545,344.775,4,2022-11-08-12-54-46-231,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933686476602668.jpeg,1667933686.563643,-175.31506560541263,0.5014535230872671,153.22856754616402,-3.5,42.01795348,-93.77303620333333,344.767,4,2022-11-08-12-54-46-563,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933686840413705.jpeg,1667933686.8990023,-177.56510838165744,-0.7019578389527308,151.7413955287505,-5.813,42.017950855,-93.77303484166667,344.775,4,2022-11-08-12-54-46-899,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933687142910572.jpeg,1667933687.2230303,-179.75268326936805,-1.7262886517678444,152.5433860853533,-8.812,42.01794892833333,-93.77303338,344.779,4,2022-11-08-12-54-47-223,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933687509145090.jpeg,1667933687.570157,-177.4055563960049,-2.316537626451752,153.9939962215412,-7.75,42.01794622,-93.77303399,344.778,4,2022-11-08-12-54-47-570,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933687810030566.jpeg,1667933687.8925886,-179.67283326048215,-1.4756092979351887,155.08639516818823,-7.813,42.01794394,-93.77303451333333,344.785,4,2022-11-08-12-54-47-892,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933688175338815.jpeg,1667933688.2438226,179.4218741727189,-0.8224375930836623,155.78902756849214,-11.75,42.01794113,-93.77303207333334,344.795,4,2022-11-08-12-54-48-243,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933688476018390.jpeg,1667933688.5562649,-179.97365633233855,-0.7859738250890077,156.4287988395074,-10.5,42.017938408333336,-93.773032815,344.801,4,2022-11-08-12-54-48-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933688843749146.jpeg,1667933688.9041765,-176.62457392811638,-0.248534113455445,156.8198749159813,-6.5,42.017935115,-93.77303494166667,344.803,4,2022-11-08-12-54-48-904,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933689143212639.jpeg,1667933689.2261264,-178.139667590922,0.5528098055674292,155.92637487891997,-6.688,42.017933745,-93.773036065,344.796,4,2022-11-08-12-54-49-226,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933689497495069.jpeg,1667933689.5600781,179.04623939391726,0.3037163591365612,158.0912138827661,-12.187,42.017930705,-93.77303238166667,344.8,4,2022-11-08-12-54-49-560,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933689811850716.jpeg,1667933689.8921273,179.57325857961501,-1.1605248469561358,159.4221730169621,-9.187,42.017928078333334,-93.77303377833333,344.814,4,2022-11-08-12-54-49-892,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933690174404762.jpeg,1667933690.2338798,-179.53628653247964,-1.6692417716110706,160.0275152391466,-7.438,42.017926233333334,-93.77303557,344.815,4,2022-11-08-12-54-50-233,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933690476211088.jpeg,1667933690.561115,-178.9711607697461,-1.9017622911564285,160.19622465599642,-10.687,42.017923528333334,-93.77303311833333,344.811,4,2022-11-08-12-54-50-561,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933690842419320.jpeg,1667933690.902939,-179.44105437833298,-1.8587284596107883,160.53904432700273,-7.25,42.01792112166667,-93.77303510333333,344.817,4,2022-11-08-12-54-50-903,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933691142790388.jpeg,1667933691.2303848,-178.47149131353515,-2.4819089176900206,160.61122666191952,-7.938,42.01791900833334,-93.77303456333334,344.836,4,2022-11-08-12-54-51-230,
