image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934831510464741.jpeg,1667934831.5913198,-179.90807569139807,-5.634389095284811,171.05099120357812,-6.313,42.01811677333333,-93.77366114166666,344.462,4,2022-11-08-13-13-51-591,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934831841642752.jpeg,1667934831.9196358,175.59581781306434,-3.8056953017423774,171.18706701686312,-12.312,42.01811489666667,-93.77365801833334,344.474,4,2022-11-08-13-13-51-919,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934832177072001.jpeg,1667934832.2551064,175.2950298436858,-0.7333690869834358,169.73380642967612,-13.375,42.01811175,-93.77365677666667,344.465,4,2022-11-08-13-13-52-255,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934832509493440.jpeg,1667934832.5858767,169.9623470635805,0.4696676257853055,169.38560056709818,-16.875,42.01810915,-93.773655375,344.445,4,2022-11-08-13-13-52-585,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934832842852095.jpeg,1667934832.918696,167.30001720234017,3.725800600957793,170.96164252124828,-23.25,42.018107201666666,-93.773651985,344.375,4,2022-11-08-13-13-52-918,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934833177073901.jpeg,1667934833.256792,168.6348619557338,5.0523121379629305,168.22388772590776,-17.312,42.018104363333336,-93.77365453833333,344.429,4,2022-11-08-13-13-53-256,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934833511064372.jpeg,1667934833.5924125,166.3598899385196,5.749199340205788,168.92161177556474,-24.25,42.01810202,-93.77365125,344.37,4,2022-11-08-13-13-53-592,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934833842676451.jpeg,1667934833.9220905,169.3494580427649,3.9351443001355677,168.81496672948697,-21.812,42.018101521666665,-93.77365212833334,344.376,4,2022-11-08-13-13-53-922,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934834177684122.jpeg,1667934834.262673,171.86548826601145,2.5665241166662502,166.3928188303704,-15.875,42.01809979,-93.77365518,344.429,4,2022-11-08-13-13-54-262,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934834510318344.jpeg,1667934834.5820467,173.1475553458537,0.9753845420766116,165.60704028506473,-17.562,42.01809836166667,-93.77365458833333,344.394,4,2022-11-08-13-13-54-582,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934834844033197.jpeg,1667934834.9159453,173.45144228844399,-0.9358223717112029,166.7608986133052,-16.312,42.01809765666667,-93.77365539833333,344.4,4,2022-11-08-13-13-54-916,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934835176915169.jpeg,1667934835.250693,174.53468441799356,-0.8647825889319753,163.55330530563114,-14.25,42.01809685166667,-93.77365630666667,344.415,4,2022-11-08-13-13-55-250,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934835509136710.jpeg,1667934835.5958123,174.6520048095484,0.05712902613164562,164.1973661238784,-14.375,42.01809423666667,-93.77365664166666,344.408,4,2022-11-08-13-13-55-595,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934835843252364.jpeg,1667934835.9221008,176.75104622111016,0.6390044437375858,164.4990151262971,-13.0,42.01809230833334,-93.77365745666667,344.415,4,2022-11-08-13-13-55-922,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934836177461358.jpeg,1667934836.261031,176.97707795916435,0.6701170532872681,167.291259299627,-10.812,42.01809054333334,-93.77365904166666,344.42,4,2022-11-08-13-13-56-261,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934836510069048.jpeg,1667934836.5943675,176.04115830306137,0.49084685560180114,172.57145314392386,-12.312,42.018088688333336,-93.773658645,344.418,4,2022-11-08-13-13-56-594,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934836843221982.jpeg,1667934836.9273162,172.4160380834074,0.8813842758625104,176.1652120996286,-15.625,42.018087298333334,-93.773657185,344.412,4,2022-11-08-13-13-56-927,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934837175523620.jpeg,1667934837.2580755,170.02890552478917,0.5583054714732014,179.03583373070998,-20.5,42.018086151666665,-93.77365487833333,344.38,4,2022-11-08-13-13-57-258,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934837509909787.jpeg,1667934837.5972114,171.93146633282618,-0.7267729404110738,177.29402790917595,-19.5,42.018084818333335,-93.77365471833333,344.372,4,2022-11-08-13-13-57-597,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934837844387020.jpeg,1667934837.9219596,175.0747744986284,-0.9562232805896594,171.75329275726045,-12.625,42.018083575,-93.77365799333333,344.415,4,2022-11-08-13-13-57-922,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934838176893573.jpeg,1667934838.2566226,173.23216062920392,-1.1743148173952218,165.45677885075764,-15.187,42.01808191333333,-93.77365745166666,344.424,4,2022-11-08-13-13-58-256,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934838508426829.jpeg,1667934838.5893695,171.924249269457,-0.017111922822651924,166.13710280230674,-18.875,42.018079405,-93.77365445666666,344.385,4,2022-11-08-13-13-58-589,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934838843554920.jpeg,1667934838.9261858,172.2689067117989,0.26394991839028836,166.84314426628524,-17.187,42.01807728666667,-93.77365508,344.395,4,2022-11-08-13-13-58-926,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934839176714452.jpeg,1667934839.250147,172.01981177106617,0.10343986210399164,166.80441567573519,-16.125,42.01807534666667,-93.77365588333333,344.412,4,2022-11-08-13-13-59-250,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934839510612849.jpeg,1667934839.583391,170.81767034013635,0.6190708525510419,169.47207951823756,-19.75,42.01807336833333,-93.77365416666666,344.381,4,2022-11-08-13-13-59-583,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934839842800408.jpeg,1667934839.930234,171.22390320979332,0.6989176280799149,169.90378825835282,-19.875,42.018071821666666,-93.773653785,344.374,4,2022-11-08-13-13-59-930,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934840176938620.jpeg,1667934840.2499316,173.34305042715832,0.12084987285820942,170.6061132420035,-17.437,42.01807080333333,-93.77365519166666,344.397,4,2022-11-08-13-14-00-250,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934840510861805.jpeg,1667934840.5901077,175.0756502561456,-0.33425423796466075,170.88175507237787,-15.875,42.01806864666667,-93.77365621833333,344.412,4,2022-11-08-13-14-00-590,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934840843520206.jpeg,1667934840.9294324,175.04268612361935,-0.3943754578708632,170.0821914752783,-13.437,42.01806763166667,-93.773657565,344.418,4,2022-11-08-13-14-00-929,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934841176848487.jpeg,1667934841.2582157,177.17511493020146,-0.5137017676248992,169.345758876092,-13.562,42.018066135,-93.77365757333334,344.429,4,2022-11-08-13-14-01-258,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934841510610489.jpeg,1667934841.593289,175.86022817924447,-0.7908267967868496,168.3309558903112,-11.75,42.01806429333333,-93.773658705,344.435,4,2022-11-08-13-14-01-593,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934841843407377.jpeg,1667934841.9333827,175.22065310850508,-1.173680729899723,168.39163756852247,-13.875,42.018062513333334,-93.77365747,344.424,4,2022-11-08-13-14-01-933,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934842196277533.jpeg,1667934842.260902,176.1485183689019,-0.9642014339990909,168.82549995450796,-13.25,42.01806098666667,-93.77365746666666,344.428,4,2022-11-08-13-14-02-260,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934842512101419.jpeg,1667934842.602667,176.41070196923775,-0.5018547408714116,168.0015651542675,-11.75,42.018058805,-93.77365862333333,344.434,4,2022-11-08-13-14-02-602,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934842863039634.jpeg,1667934842.9398072,174.34928172385744,-0.41825426918255304,168.73264034816395,-14.062,42.01805653666667,-93.773657635,344.43,4,2022-11-08-13-14-02-939,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934843178783823.jpeg,1667934843.2677798,172.52966851633715,0.2002384784540546,169.36058193693788,-16.125,42.01805471666667,-93.77365666666667,344.415,4,2022-11-08-13-14-03-267,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934843530369696.jpeg,1667934843.5979967,173.06647347866422,1.0997363825527562,172.55023533370053,-18.25,42.018052785,-93.77365519166666,344.401,4,2022-11-08-13-14-03-598,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934843864793160.jpeg,1667934843.9298418,174.3059437755956,1.0731118271168165,174.7260837423764,-14.75,42.01805048833333,-93.77365686666667,344.423,4,2022-11-08-13-14-03-929,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934844176215982.jpeg,1667934844.2497265,172.93394341457076,0.12537934019417243,172.58919564875927,-16.0,42.018048881666665,-93.773656895,344.429,4,2022-11-08-13-14-04-249,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934844513410034.jpeg,1667934844.6029549,172.74105537574889,-0.28975038901739636,171.80946156260165,-18.875,42.018047425,-93.77365466,344.387,4,2022-11-08-13-14-04-603,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934844860604033.jpeg,1667934844.9238634,175.20782803453133,-1.1655224716231862,167.85508768303535,-15.437,42.01804563,-93.77365610666666,344.422,4,2022-11-08-13-14-04-923,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934845198313530.jpeg,1667934845.2624822,176.27294282886118,-1.1301354347663515,165.14643266453103,-13.75,42.01804338833333,-93.773657285,344.435,4,2022-11-08-13-14-05-262,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934845512111837.jpeg,1667934845.586164,176.11088826957987,-1.4423327138645585,164.6169607951541,-13.687,42.018041255,-93.77365754833333,344.43,4,2022-11-08-13-14-05-586,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934845844841734.jpeg,1667934845.9199452,174.46816664662754,-1.1309410165117568,164.75007034554667,-15.625,42.01803968,-93.77365652166667,344.416,4,2022-11-08-13-14-05-920,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934846177093258.jpeg,1667934846.247501,172.31441905269955,-0.3910737841830042,168.14591341400055,-16.0,42.018037578333335,-93.773656635,344.422,4,2022-11-08-13-14-06-247,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934846510320226.jpeg,1667934846.582503,171.70146683218226,-0.27536379457857,173.6027697486019,-17.625,42.01803518166667,-93.77365599333334,344.414,4,2022-11-08-13-14-06-582,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934846842359527.jpeg,1667934846.920604,172.40886234925705,-0.33568353874777407,176.3307211707031,-17.75,42.01803368666667,-93.77365607,344.415,4,2022-11-08-13-14-06-920,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934847180376589.jpeg,1667934847.2635396,174.09903088180664,-0.6640410608238233,173.49831006515015,-17.437,42.01803218333333,-93.77365625833333,344.428,4,2022-11-08-13-14-07-263,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934847541304623.jpeg,1667934847.6010294,174.05300669091255,-1.4870272600588887,167.28446118237045,-15.437,42.018029541666664,-93.77365710666666,344.444,4,2022-11-08-13-14-07-601,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934847843736520.jpeg,1667934847.9294927,171.22930955768146,-1.0306769169672272,166.63997874903893,-19.125,42.018027368333335,-93.77365541166667,344.414,4,2022-11-08-13-14-07-929,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934848205826480.jpeg,1667934848.266573,168.59631166490496,-0.0525813480171684,167.09737541571445,-23.0,42.01802438166666,-93.77365302666666,344.372,4,2022-11-08-13-14-08-266,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934848510924140.jpeg,1667934848.6008735,169.55187012656296,0.7198263026324886,168.61294313672448,-21.875,42.01802235666667,-93.77365372,344.388,4,2022-11-08-13-14-08-600,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934848876858075.jpeg,1667934848.9372354,170.67704914483122,0.3557390200715695,170.02628709843054,-20.125,42.018020811666666,-93.77365453166666,344.41,4,2022-11-08-13-14-08-937,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934849176935793.jpeg,1667934849.2650545,170.93180874556762,-0.43057128679217954,169.64197229207178,-20.25,42.01801908666667,-93.77365467,344.417,4,2022-11-08-13-14-09-265,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934849540577853.jpeg,1667934849.601436,172.95051556654892,-0.7620648914986665,168.83137201960542,-18.5,42.01801691166666,-93.77365509166667,344.421,4,2022-11-08-13-14-09-601,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934849842680634.jpeg,1667934849.9302635,173.59317372720832,-1.332235636774197,168.44946232542674,-16.062,42.018015141666666,-93.77365670666667,344.445,4,2022-11-08-13-14-09-930,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934850195719423.jpeg,1667934850.2596834,173.00256943462665,-1.095679522865387,171.70217692765414,-16.187,42.018013485,-93.77365685333334,344.448,4,2022-11-08-13-14-10-259,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934850529422813.jpeg,1667934850.596701,172.87652879134092,-1.143305310914326,172.5072399509821,-16.875,42.01801127666667,-93.77365652833333,344.447,4,2022-11-08-13-14-10-596,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934850843447325.jpeg,1667934850.9170525,173.89684171881154,-1.185032352210042,172.20372879328318,-15.5,42.01800919,-93.77365722666667,344.461,4,2022-11-08-13-14-10-917,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934851176300274.jpeg,1667934851.25718,172.24984753182395,-1.031320383454317,170.76506693938637,-16.625,42.01800726333333,-93.77365724833334,344.459,4,2022-11-08-13-14-11-257,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934851510955164.jpeg,1667934851.5844717,170.80617846971285,-0.7444618450894254,170.5296763772461,-19.687,42.01800429833333,-93.773655115,344.425,4,2022-11-08-13-14-11-584,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934851845528907.jpeg,1667934851.9240952,170.27266507550087,-0.002879603102225757,170.08658481136618,-20.812,42.018002198333335,-93.773654485,344.422,4,2022-11-08-13-14-11-924,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934852180167697.jpeg,1667934852.2620103,169.66455060235944,-1.0825291718248562,167.91351978930857,-20.75,42.01800061,-93.77365445333334,344.431,4,2022-11-08-13-14-12-262,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934852530312490.jpeg,1667934852.5941362,168.96023595993105,-1.4783201876423433,166.3033730010394,-21.687,42.017998045,-93.773653635,344.42,4,2022-11-08-13-14-12-594,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934852845860262.jpeg,1667934852.9205897,168.73942248788225,-1.0475113193489138,168.24549895859457,-22.312,42.017996045,-93.773653205,344.405,4,2022-11-08-13-14-12-920,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934853196843405.jpeg,1667934853.259057,169.6726031800631,-0.28798091894765293,175.36709246792756,-20.437,42.01799432833333,-93.77365418833334,344.426,4,2022-11-08-13-14-13-259,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934853512292862.jpeg,1667934853.5869908,169.4712150903174,0.21038953888185224,177.20860917003435,-20.875,42.017991843333334,-93.77365424333334,344.433,4,2022-11-08-13-14-13-587,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934853862670871.jpeg,1667934853.9364946,167.36457243108907,-0.7642878581237266,174.9883036467742,-22.562,42.017990495,-93.77365329166666,344.427,4,2022-11-08-13-14-13-936,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934854195355278.jpeg,1667934854.258223,168.7972689904032,-0.24473997724351804,175.01427207622072,-22.5,42.01798820166667,-93.77365271833334,344.423,4,2022-11-08-13-14-14-258,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934854510971561.jpeg,1667934854.5916927,170.66417689588752,-0.7599479331006032,171.3597088030368,-19.75,42.017985555,-93.773654335,344.458,4,2022-11-08-13-14-14-591,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934854842520657.jpeg,1667934854.918001,171.92733195624075,-0.6675987423911628,170.5146246790172,-18.875,42.01798363333333,-93.77365457833334,344.464,4,2022-11-08-13-14-14-918,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934855176211132.jpeg,1667934855.2579484,173.4084643685967,-0.886362036915301,169.7990873347056,-16.75,42.01798207,-93.77365540333334,344.481,4,2022-11-08-13-14-15-258,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934855510487696.jpeg,1667934855.595653,173.05199993472365,-0.9573692580235695,167.46207985400395,-15.875,42.017979323333336,-93.773656095,344.497,4,2022-11-08-13-14-15-595,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934855842759237.jpeg,1667934855.919377,174.79325685388451,-0.27807552015353365,169.0873013168402,-16.687,42.017977425,-93.77365575333333,344.487,4,2022-11-08-13-14-15-919,
